Epoch 10: P=0.392, R=0.481, mAP@.5=0.386, mAP@.5:.95=0.212
Epoch 20: P=0.612, R=0.563, mAP@.5=0.61, mAP@.5:.95=0.39
Epoch 30: P=0.749, R=0.678, mAP@.5=0.744, mAP@.5:.95=0.52
Epoch 40: P=0.782, R=0.731, mAP@.5=0.798, mAP@.5:.95=0.572
Epoch 50: P=0.806, R=0.772, mAP@.5=0.821, mAP@.5:.95=0.607
Epoch 60: P=0.83, R=0.804, mAP@.5=0.851, mAP@.5:.95=0.636
Epoch 70: P=0.865, R=0.814, mAP@.5=0.866, mAP@.5:.95=0.653
Epoch 80: P=0.882, R=0.809, mAP@.5=0.873, mAP@.5:.95=0.665
Epoch 90: P=0.88, R=0.833, mAP@.5=0.884, mAP@.5:.95=0.676
Epoch 100: P=0.878, R=0.839, mAP@.5=0.886, mAP@.5:.95=0.682
Epoch 110: P=0.867, R=0.858, mAP@.5=0.891, mAP@.5:.95=0.688
Epoch 120: P=0.885, R=0.842, mAP@.5=0.892, mAP@.5:.95=0.692
Epoch 130: P=0.883, R=0.854, mAP@.5=0.894, mAP@.5:.95=0.691
Epoch 140: P=0.894, R=0.846, mAP@.5=0.894, mAP@.5:.95=0.694
Epoch 150: P=0.884, R=0.863, mAP@.5=0.898, mAP@.5:.95=0.699
Epoch 160: P=0.885, R=0.865, mAP@.5=0.897, mAP@.5:.95=0.699
Epoch 170: P=0.88, R=0.872, mAP@.5=0.897, mAP@.5:.95=0.699
Epoch 180: P=0.882, R=0.871, mAP@.5=0.898, mAP@.5:.95=0.699
Epoch 190: P=0.87, R=0.883, mAP@.5=0.898, mAP@.5:.95=0.7
Epoch 200: P=0.877, R=0.88, mAP@.5=0.898, mAP@.5:.95=0.701
Epoch 210: P=0.873, R=0.885, mAP@.5=0.899, mAP@.5:.95=0.702
Epoch 220: P=0.878, R=0.881, mAP@.5=0.899, mAP@.5:.95=0.702
Epoch 230: P=0.878, R=0.879, mAP@.5=0.899, mAP@.5:.95=0.702
Epoch 240: P=0.883, R=0.875, mAP@.5=0.899, mAP@.5:.95=0.703
Epoch 250: P=0.877, R=0.882, mAP@.5=0.899, mAP@.5:.95=0.703
Epoch 260: P=0.88, R=0.879, mAP@.5=0.9, mAP@.5:.95=0.705
Epoch 270: P=0.894, R=0.865, mAP@.5=0.9, mAP@.5:.95=0.706
Epoch 280: P=0.89, R=0.87, mAP@.5=0.9, mAP@.5:.95=0.706
Epoch 290: P=0.891, R=0.871, mAP@.5=0.9, mAP@.5:.95=0.707
Epoch 300: P=0.888, R=0.875, mAP@.5=0.901, mAP@.5:.95=0.708
Epoch 310: P=0.884, R=0.877, mAP@.5=0.901, mAP@.5:.95=0.707
Epoch 320: P=0.897, R=0.865, mAP@.5=0.9, mAP@.5:.95=0.707
Epoch 330: P=0.89, R=0.874, mAP@.5=0.9, mAP@.5:.95=0.707
Epoch 340: P=0.893, R=0.87, mAP@.5=0.899, mAP@.5:.95=0.707
